Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation
2002,Total,Total,Total,Total,Total
2003,Total,Total,Total,Total,Total
2004,Total,Total,Total,Total,Total
2005,Total,Total,Total,Total,Total
2006,Total,Total,Total,Total,Total
2007,Total,Total,Total,Total,Total
2008,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2002,Male,Total,Total,Total,Total
2003,Male,Total,Total,Total,Total
2004,Male,Total,Total,Total,Total
2005,Male,Total,Total,Total,Total
2006,Male,Total,Total,Total,Total
2007,Male,Total,Total,Total,Total
2008,Male,Total,Total,Total,Total
2009,Male,Total,Total,Total,Total
2010,Male,Total,Total,Total,Total
2011,Male,Total,Total,Total,Total
2012,Male,Total,Total,Total,Total
2013,Male,Total,Total,Total,Total
2014,Male,Total,Total,Total,Total
2015,Male,Total,Total,Total,Total
2016,Male,Total,Total,Total,Total
2017,Male,Total,Total,Total,Total
2018,Male,Total,Total,Total,Total
2002,Female,Total,Total,Total,Total
2003,Female,Total,Total,Total,Total
2004,Female,Total,Total,Total,Total
2005,Female,Total,Total,Total,Total
2006,Female,Total,Total,Total,Total
2007,Female,Total,Total,Total,Total
2008,Female,Total,Total,Total,Total
2009,Female,Total,Total,Total,Total
2010,Female,Total,Total,Total,Total
2011,Female,Total,Total,Total,Total
2012,Female,Total,Total,Total,Total
2013,Female,Total,Total,Total,Total
2014,Female,Total,Total,Total,Total
2015,Female,Total,Total,Total,Total
2016,Female,Total,Total,Total,Total
2017,Female,Total,Total,Total,Total
2018,Female,Total,Total,Total,Total
2002,Total,15–24,Total,Total,Total
2003,Total,15–24,Total,Total,Total
2004,Total,15–24,Total,Total,Total
2005,Total,15–24,Total,Total,Total
2006,Total,15–24,Total,Total,Total
2007,Total,15–24,Total,Total,Total
2008,Total,15–24,Total,Total,Total
2009,Total,15–24,Total,Total,Total
2010,Total,15–24,Total,Total,Total
2011,Total,15–24,Total,Total,Total
2012,Total,15–24,Total,Total,Total
2013,Total,15–24,Total,Total,Total
2014,Total,15–24,Total,Total,Total
2015,Total,15–24,Total,Total,Total
2016,Total,15–24,Total,Total,Total
2017,Total,15–24,Total,Total,Total
2018,Total,15–24,Total,Total,Total
2002,Total,25–34 ,Total,Total,Total
2003,Total,25–34 ,Total,Total,Total
2004,Total,25–34,Total,Total,Total
2005,Total,25–34,Total,Total,Total
2006,Total,25–34,Total,Total,Total
2007,Total,25–34,Total,Total,Total
2008,Total,25–34,Total,Total,Total
2009,Total,25–34,Total,Total,Total
2010,Total,25–34,Total,Total,Total
2011,Total,25–34,Total,Total,Total
2012,Total,25–34,Total,Total,Total
2013,Total,25–34,Total,Total,Total
2014,Total,25–34,Total,Total,Total
2015,Total,25–34,Total,Total,Total
2016,Total,25–34,Total,Total,Total
2017,Total,25–34,Total,Total,Total
2018,Total,25–34,Total,Total,Total
2002,Total,35–44,Total,Total,Total
2003,Total,35–44,Total,Total,Total
2004,Total,35–44,Total,Total,Total
2005,Total,35–44,Total,Total,Total
2006,Total,35–44,Total,Total,Total
2007,Total,35–44,Total,Total,Total
2008,Total,35–44,Total,Total,Total
2009,Total,35–44,Total,Total,Total
2010,Total,35–44,Total,Total,Total
2011,Total,35–44,Total,Total,Total
2012,Total,35–44,Total,Total,Total
2013,Total,35–44,Total,Total,Total
2014,Total,35–44,Total,Total,Total
2015,Total,35–44,Total,Total,Total
2016,Total,35–44,Total,Total,Total
2017,Total,35–44,Total,Total,Total
2018,Total,35–44,Total,Total,Total
2002,Total,45–54,Total,Total,Total
2003,Total,45–54,Total,Total,Total
2004,Total,45–54,Total,Total,Total
2005,Total,45–54,Total,Total,Total
2006,Total,45–54,Total,Total,Total
2007,Total,45–54,Total,Total,Total
2008,Total,45–54,Total,Total,Total
2009,Total,45–54,Total,Total,Total
2010,Total,45–54,Total,Total,Total
2011,Total,45–54,Total,Total,Total
2012,Total,45–54,Total,Total,Total
2013,Total,45–54,Total,Total,Total
2014,Total,45–54,Total,Total,Total
2015,Total,45–54,Total,Total,Total
2016,Total,45–54,Total,Total,Total
2017,Total,45–54,Total,Total,Total
2018,Total,45–54,Total,Total,Total
2002,Total,55–64,Total,Total,Total
2003,Total,55–64,Total,Total,Total
2004,Total,55–64,Total,Total,Total
2005,Total,55–64,Total,Total,Total
2006,Total,55–64,Total,Total,Total
2007,Total,55–64,Total,Total,Total
2008,Total,55–64,Total,Total,Total
2009,Total,55–64,Total,Total,Total
2010,Total,55–64,Total,Total,Total
2011,Total,55–64,Total,Total,Total
2012,Total,55–64,Total,Total,Total
2013,Total,55–64,Total,Total,Total
2014,Total,55–64,Total,Total,Total
2015,Total,55–64,Total,Total,Total
2016,Total,55–64,Total,Total,Total
2017,Total,55–64,Total,Total,Total
2018,Total,55–64,Total,Total,Total
2002,Total,65–74 ,Total,Total,Total
2003,Total,65–74 ,Total,Total,Total
2004,Total,65–74,Total,Total,Total
2005,Total,65–74,Total,Total,Total
2006,Total,65–74,Total,Total,Total
2007,Total,65–74,Total,Total,Total
2008,Total,65–74,Total,Total,Total
2009,Total,65–74,Total,Total,Total
2010,Total,65–74,Total,Total,Total
2011,Total,65–74,Total,Total,Total
2012,Total,65–74,Total,Total,Total
2013,Total,65–74,Total,Total,Total
2014,Total,65–74,Total,Total,Total
2015,Total,65–74,Total,Total,Total
2016,Total,65–74,Total,Total,Total
2017,Total,65–74,Total,Total,Total
2018,Total,65–74,Total,Total,Total
2002,Total,75 and over,Total,Total,Total
2003,Total,75 and over,Total,Total,Total
2004,Total,75 and over,Total,Total,Total
2005,Total,75 and over,Total,Total,Total
2006,Total,75 and over,Total,Total,Total
2007,Total,75 and over,Total,Total,Total
2008,Total,75 and over,Total,Total,Total
2009,Total,75 and over,Total,Total,Total
2010,Total,75 and over,Total,Total,Total
2011,Total,75 and over,Total,Total,Total
2012,Total,75 and over,Total,Total,Total
2013,Total,75 and over,Total,Total,Total
2014,Total,75 and over,Total,Total,Total
2015,Total,75 and over,Total,Total,Total
2016,Total,75 and over,Total,Total,Total
2017,Total,75 and over,Total,Total,Total
2018,Total,75 and over,Total,Total,Total
2002,Total,Other and unspecified,Total,Total,Total
2003,Total,Other and unspecified,Total,Total,Total
2004,Total,Other and unspecified,Total,Total,Total
2005,Total,Other and unspecified,Total,Total,Total
2006,Total,Other and unspecified,Total,Total,Total
2007,Total,Other and unspecified,Total,Total,Total
2008,Total,Other and unspecified,Total,Total,Total
2009,Total,Other and unspecified,Total,Total,Total
2010,Total,Other and unspecified,Total,Total,Total
2011,Total,Other and unspecified,Total,Total,Total
2012,Total,Other and unspecified,Total,Total,Total
2013,Total,Other and unspecified,Total,Total,Total
2014,Total,Other and unspecified,Total,Total,Total
2015,Total,Other and unspecified,Total,Total,Total
2016,Total,Other and unspecified,Total,Total,Total
2017,Total,Other and unspecified,Total,Total,Total
2018,Total,Other and unspecified,Total,Total,Total
2002,Total,Total,Northland,Total,Total
2003,Total,Total,Northland,Total,Total
2004,Total,Total,Northland,Total,Total
2005,Total,Total,Northland,Total,Total
2006,Total,Total,Northland,Total,Total
2007,Total,Total,Northland,Total,Total
2008,Total,Total,Northland,Total,Total
2009,Total,Total,Northland,Total,Total
2010,Total,Total,Northland,Total,Total
2011,Total,Total,Northland,Total,Total
2012,Total,Total,Northland,Total,Total
2013,Total,Total,Northland,Total,Total
2014,Total,Total,Northland,Total,Total
2015,Total,Total,Northland,Total,Total
2016,Total,Total,Northland,Total,Total
2017,Total,Total,Northland,Total,Total
2018,Total,Total,Northland,Total,Total
2002,Total,Total,Auckland,Total,Total
2003,Total,Total,Auckland,Total,Total
2004,Total,Total,Auckland,Total,Total
2005,Total,Total,Auckland,Total,Total
2006,Total,Total,Auckland,Total,Total
2007,Total,Total,Auckland,Total,Total
2008,Total,Total,Auckland,Total,Total
2009,Total,Total,Auckland,Total,Total
2010,Total,Total,Auckland,Total,Total
2011,Total,Total,Auckland,Total,Total
2012,Total,Total,Auckland,Total,Total
2013,Total,Total,Auckland,Total,Total
2014,Total,Total,Auckland,Total,Total
2015,Total,Total,Auckland,Total,Total
2016,Total,Total,Auckland,Total,Total
2017,Total,Total,Auckland,Total,Total
2018,Total,Total,Auckland,Total,Total
2002,Total,Total,Waikato,Total,Total
2003,Total,Total,Waikato,Total,Total
2004,Total,Total,Waikato,Total,Total
2005,Total,Total,Waikato,Total,Total
2006,Total,Total,Waikato,Total,Total
2007,Total,Total,Waikato,Total,Total
2008,Total,Total,Waikato,Total,Total
2009,Total,Total,Waikato,Total,Total
2010,Total,Total,Waikato,Total,Total
2011,Total,Total,Waikato,Total,Total
2012,Total,Total,Waikato,Total,Total
2013,Total,Total,Waikato,Total,Total
2014,Total,Total,Waikato,Total,Total
2015,Total,Total,Waikato,Total,Total
2016,Total,Total,Waikato,Total,Total
2017,Total,Total,Waikato,Total,Total
2018,Total,Total,Waikato,Total,Total
2002,Total,Total,Bay of Plenty,Total,Total
2003,Total,Total,Bay of Plenty,Total,Total
2004,Total,Total,Bay of Plenty,Total,Total
2005,Total,Total,Bay of Plenty,Total,Total
2006,Total,Total,Bay of Plenty,Total,Total
2007,Total,Total,Bay of Plenty,Total,Total
2008,Total,Total,Bay of Plenty,Total,Total
2009,Total,Total,Bay of Plenty,Total,Total
2010,Total,Total,Bay of Plenty,Total,Total
2011,Total,Total,Bay of Plenty,Total,Total
2012,Total,Total,Bay of Plenty,Total,Total
2013,Total,Total,Bay of Plenty,Total,Total
2014,Total,Total,Bay of Plenty,Total,Total
2015,Total,Total,Bay of Plenty,Total,Total
2016,Total,Total,Bay of Plenty,Total,Total
2017,Total,Total,Bay of Plenty,Total,Total
2018,Total,Total,Bay of Plenty,Total,Total
2002,Total,Total,Gisborne Hawke's Bay,Total,Total
2003,Total,Total,Gisborne Hawke's Bay,Total,Total
2004,Total,Total,Gisborne Hawke's Bay,Total,Total
2005,Total,Total,Gisborne Hawke's Bay,Total,Total
2006,Total,Total,Gisborne Hawke's Bay,Total,Total
2007,Total,Total,Gisborne Hawke's Bay,Total,Total
2008,Total,Total,Gisborne Hawke's Bay,Total,Total
2009,Total,Total,Gisborne Hawke's Bay,Total,Total
2010,Total,Total,Gisborne Hawke's Bay,Total,Total
2011,Total,Total,Gisborne Hawke's Bay,Total,Total
2012,Total,Total,Gisborne Hawke's Bay,Total,Total
2013,Total,Total,Gisborne Hawke's Bay,Total,Total
2014,Total,Total,Gisborne Hawke's Bay,Total,Total
2015,Total,Total,Gisborne Hawke's Bay,Total,Total
2016,Total,Total,Gisborne Hawke's Bay,Total,Total
2017,Total,Total,Gisborne Hawke's Bay,Total,Total
2018,Total,Total,Gisborne Hawke's Bay,Total,Total
2002,Total,Total,Taranaki,Total,Total
2003,Total,Total,Taranaki,Total,Total
2004,Total,Total,Taranaki,Total,Total
2005,Total,Total,Taranaki,Total,Total
2006,Total,Total,Taranaki,Total,Total
2007,Total,Total,Taranaki,Total,Total
2008,Total,Total,Taranaki,Total,Total
2009,Total,Total,Taranaki,Total,Total
2010,Total,Total,Taranaki,Total,Total
2011,Total,Total,Taranaki,Total,Total
2012,Total,Total,Taranaki,Total,Total
2013,Total,Total,Taranaki,Total,Total
2014,Total,Total,Taranaki,Total,Total
2015,Total,Total,Taranaki,Total,Total
2016,Total,Total,Taranaki,Total,Total
2017,Total,Total,Taranaki,Total,Total
2018,Total,Total,Taranaki,Total,Total
2002,Total,Total,Manawatu Wanganui,Total,Total
2003,Total,Total,Manawatu Wanganui,Total,Total
2004,Total,Total,Manawatu Wanganui,Total,Total
2005,Total,Total,Manawatu Wanganui,Total,Total
2006,Total,Total,Manawatu Wanganui,Total,Total
2007,Total,Total,Manawatu Wanganui,Total,Total
2008,Total,Total,Manawatu Wanganui,Total,Total
2009,Total,Total,Manawatu Wanganui,Total,Total
2010,Total,Total,Manawatu Wanganui,Total,Total
2011,Total,Total,Manawatu Wanganui,Total,Total
2012,Total,Total,Manawatu Wanganui,Total,Total
2013,Total,Total,Manawatu Wanganui,Total,Total
2014,Total,Total,Manawatu Wanganui,Total,Total
2015,Total,Total,Manawatu Wanganui,Total,Total
2016,Total,Total,Manawatu Wanganui,Total,Total
2017,Total,Total,Manawatu Wanganui,Total,Total
2018,Total,Total,Manawatu Wanganui,Total,Total
2002,Total,Total,Wellington,Total,Total
2003,Total,Total,Wellington,Total,Total
2004,Total,Total,Wellington,Total,Total
2005,Total,Total,Wellington,Total,Total
2006,Total,Total,Wellington,Total,Total
2007,Total,Total,Wellington,Total,Total
2008,Total,Total,Wellington,Total,Total
2009,Total,Total,Wellington,Total,Total
2010,Total,Total,Wellington,Total,Total
2011,Total,Total,Wellington,Total,Total
2012,Total,Total,Wellington,Total,Total
2013,Total,Total,Wellington,Total,Total
2014,Total,Total,Wellington,Total,Total
2015,Total,Total,Wellington,Total,Total
2016,Total,Total,Wellington,Total,Total
2017,Total,Total,Wellington,Total,Total
2018,Total,Total,Wellington,Total,Total
2002,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2003,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2004,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2005,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2006,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2007,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2008,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2009,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2010,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2011,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2012,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2013,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2014,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2015,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2016,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2017,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2018,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2002,Total,Total,Canterbury,Total,Total
2003,Total,Total,Canterbury,Total,Total
2004,Total,Total,Canterbury,Total,Total
2005,Total,Total,Canterbury,Total,Total
2006,Total,Total,Canterbury,Total,Total
2007,Total,Total,Canterbury,Total,Total
2008,Total,Total,Canterbury,Total,Total
2009,Total,Total,Canterbury,Total,Total
2010,Total,Total,Canterbury,Total,Total
2011,Total,Total,Canterbury,Total,Total
2012,Total,Total,Canterbury,Total,Total
2013,Total,Total,Canterbury,Total,Total
2014,Total,Total,Canterbury,Total,Total
2015,Total,Total,Canterbury,Total,Total
2016,Total,Total,Canterbury,Total,Total
2017,Total,Total,Canterbury,Total,Total
2018,Total,Total,Canterbury,Total,Total
2002,Total,Total,Otago Southland,Total,Total
2003,Total,Total,Otago Southland,Total,Total
2004,Total,Total,Otago Southland,Total,Total
2005,Total,Total,Otago Southland,Total,Total
2006,Total,Total,Otago Southland,Total,Total
2007,Total,Total,Otago Southland,Total,Total
2008,Total,Total,Otago Southland,Total,Total
2009,Total,Total,Otago Southland,Total,Total
2010,Total,Total,Otago Southland,Total,Total
2011,Total,Total,Otago Southland,Total,Total
2012,Total,Total,Otago Southland,Total,Total
2013,Total,Total,Otago Southland,Total,Total
2014,Total,Total,Otago Southland,Total,Total
2015,Total,Total,Otago Southland,Total,Total
2016,Total,Total,Otago Southland,Total,Total
2017,Total,Total,Otago Southland,Total,Total
2018,Total,Total,Otago Southland,Total,Total
2002,Total,Total,Other,Total,Total
2003,Total,Total,Other,Total,Total
2004,Total,Total,Other,Total,Total
2005,Total,Total,Other,Total,Total
2006,Total,Total,Other,Total,Total
2007,Total,Total,Other,Total,Total
2008,Total,Total,Other,Total,Total
2009,Total,Total,Other,Total,Total
2010,Total,Total,Other,Total,Total
2011,Total,Total,Other,Total,Total
2012,Total,Total,Other,Total,Total
2013,Total,Total,Other,Total,Total
2014,Total,Total,Other,Total,Total
2015,Total,Total,Other,Total,Total
2016,Total,Total,Other,Total,Total
2017,Total,Total,Other,Total,Total
2018,Total,Total,Other,Total,Total
2002,Total,Total,Not specified,Total,Total
2003,Total,Total,Not specified,Total,Total
2004,Total,Total,Not specified,Total,Total
2005,Total,Total,Not specified,Total,Total
2006,Total,Total,Not specified,Total,Total
2007,Total,Total,Not specified,Total,Total
2008,Total,Total,Not specified,Total,Total
2009,Total,Total,Not specified,Total,Total
2010,Total,Total,Not specified,Total,Total
2011,Total,Total,Not specified,Total,Total
2012,Total,Total,Not specified,Total,Total
2013,Total,Total,Not specified,Total,Total
2014,Total,Total,Not specified,Total,Total
2015,Total,Total,Not specified,Total,Total
2016,Total,Total,Not specified,Total,Total
2017,Total,Total,Not specified,Total,Total
2018,Total,Total,Not specified,Total,Total
2002,Total,Total,Total,Employee,Total
2003,Total,Total,Total,Employee,Total
2004,Total,Total,Total,Employee,Total
2005,Total,Total,Total,Employee,Total
2006,Total,Total,Total,Employee,Total
2007,Total,Total,Total,Employee,Total
2008,Total,Total,Total,Employee,Total
2009,Total,Total,Total,Employee,Total
2010,Total,Total,Total,Employee,Total
2011,Total,Total,Total,Employee,Total
2012,Total,Total,Total,Employee,Total
2013,Total,Total,Total,Employee,Total
2014,Total,Total,Total,Employee,Total
2015,Total,Total,Total,Employee,Total
2016,Total,Total,Total,Employee,Total
2017,Total,Total,Total,Employee,Total
2018,Total,Total,Total,Employee,Total
2002,Total,Total,Total,Self-employed,Total
2003,Total,Total,Total,Self-employed,Total
2004,Total,Total,Total,Self-employed,Total
2005,Total,Total,Total,Self-employed,Total
2006,Total,Total,Total,Self-employed,Total
2007,Total,Total,Total,Self-employed,Total
2008,Total,Total,Total,Self-employed,Total
2009,Total,Total,Total,Self-employed,Total
2010,Total,Total,Total,Self-employed,Total
2011,Total,Total,Total,Self-employed,Total
2012,Total,Total,Total,Self-employed,Total
2013,Total,Total,Total,Self-employed,Total
2014,Total,Total,Total,Self-employed,Total
2015,Total,Total,Total,Self-employed,Total
2016,Total,Total,Total,Self-employed,Total
2017,Total,Total,Total,Self-employed,Total
2018,Total,Total,Total,Self-employed,Total
2002,Total,Total,Total,Other,Total
2003,Total,Total,Total,Other,Total
2004,Total,Total,Total,Other,Total
2005,Total,Total,Total,Other,Total
2006,Total,Total,Total,Other,Total
2007,Total,Total,Total,Other,Total
2008,Total,Total,Total,Other,Total
2009,Total,Total,Total,Other,Total
2010,Total,Total,Total,Other,Total
2011,Total,Total,Total,Other,Total
2012,Total,Total,Total,Other,Total
2013,Total,Total,Total,Other,Total
2014,Total,Total,Total,Other,Total
2015,Total,Total,Total,Other,Total
2016,Total,Total,Total,Other,Total
2017,Total,Total,Total,Other,Total
2018,Total,Total,Total,Other,Total
2002,Total,Total,Total,Total,Legislators administrators and managers
2003,Total,Total,Total,Total,Legislators administrators and managers
2004,Total,Total,Total,Total,Legislators administrators and managers
2005,Total,Total,Total,Total,Legislators administrators and managers
2006,Total,Total,Total,Total,Legislators administrators and managers
2007,Total,Total,Total,Total,Legislators administrators and managers
2008,Total,Total,Total,Total,Legislators administrators and managers
2009,Total,Total,Total,Total,Legislators administrators and managers
2010,Total,Total,Total,Total,Legislators administrators and managers
2011,Total,Total,Total,Total,Legislators administrators and managers
2012,Total,Total,Total,Total,Legislators administrators and managers
2013,Total,Total,Total,Total,Legislators administrators and managers
2014,Total,Total,Total,Total,Legislators administrators and managers
2015,Total,Total,Total,Total,Legislators administrators and managers
2016,Total,Total,Total,Total,Legislators administrators and managers
2017,Total,Total,Total,Total,Legislators administrators and managers
2018,Total,Total,Total,Total,Legislators administrators and managers
2002,Total,Total,Total,Total,Professionals
2003,Total,Total,Total,Total,Professionals
2004,Total,Total,Total,Total,Professionals
2005,Total,Total,Total,Total,Professionals
2006,Total,Total,Total,Total,Professionals
2007,Total,Total,Total,Total,Professionals
2008,Total,Total,Total,Total,Professionals
2009,Total,Total,Total,Total,Professionals
2010,Total,Total,Total,Total,Professionals
2011,Total,Total,Total,Total,Professionals
2012,Total,Total,Total,Total,Professionals
2013,Total,Total,Total,Total,Professionals
2014,Total,Total,Total,Total,Professionals
2015,Total,Total,Total,Total,Professionals
2016,Total,Total,Total,Total,Professionals
2017,Total,Total,Total,Total,Professionals
2018,Total,Total,Total,Total,Professionals
2002,Total,Total,Total,Total,Technicians and associate professionals
2003,Total,Total,Total,Total,Technicians and associate professionals
2004,Total,Total,Total,Total,Technicians and associate professionals
2005,Total,Total,Total,Total,Technicians and associate professionals
2006,Total,Total,Total,Total,Technicians and associate professionals
2007,Total,Total,Total,Total,Technicians and associate professionals
2008,Total,Total,Total,Total,Technicians and associate professionals
2009,Total,Total,Total,Total,Technicians and associate professionals
2010,Total,Total,Total,Total,Technicians and associate professionals
2011,Total,Total,Total,Total,Technicians and associate professionals
2012,Total,Total,Total,Total,Technicians and associate professionals
2013,Total,Total,Total,Total,Technicians and associate professionals
2014,Total,Total,Total,Total,Technicians and associate professionals
2015,Total,Total,Total,Total,Technicians and associate professionals
2016,Total,Total,Total,Total,Technicians and associate professionals
2017,Total,Total,Total,Total,Technicians and associate professionals
2018,Total,Total,Total,Total,Technicians and associate professionals
2002,Total,Total,Total,Total,Clerks
2003,Total,Total,Total,Total,Clerks
2004,Total,Total,Total,Total,Clerks
2005,Total,Total,Total,Total,Clerks
2006,Total,Total,Total,Total,Clerks
2007,Total,Total,Total,Total,Clerks
2008,Total,Total,Total,Total,Clerks
2009,Total,Total,Total,Total,Clerks
2010,Total,Total,Total,Total,Clerks
2011,Total,Total,Total,Total,Clerks
2012,Total,Total,Total,Total,Clerks
2013,Total,Total,Total,Total,Clerks
2014,Total,Total,Total,Total,Clerks
2015,Total,Total,Total,Total,Clerks
2016,Total,Total,Total,Total,Clerks
2017,Total,Total,Total,Total,Clerks
2018,Total,Total,Total,Total,Clerks
2002,Total,Total,Total,Total,Service and sales workers
2003,Total,Total,Total,Total,Service and sales workers
2004,Total,Total,Total,Total,Service and sales workers
2005,Total,Total,Total,Total,Service and sales workers
2006,Total,Total,Total,Total,Service and sales workers
2007,Total,Total,Total,Total,Service and sales workers
2008,Total,Total,Total,Total,Service and sales workers
2009,Total,Total,Total,Total,Service and sales workers
2010,Total,Total,Total,Total,Service and sales workers
2011,Total,Total,Total,Total,Service and sales workers
2012,Total,Total,Total,Total,Service and sales workers
2013,Total,Total,Total,Total,Service and sales workers
2014,Total,Total,Total,Total,Service and sales workers
2015,Total,Total,Total,Total,Service and sales workers
2016,Total,Total,Total,Total,Service and sales workers
2017,Total,Total,Total,Total,Service and sales workers
2018,Total,Total,Total,Total,Service and sales workers
2002,Total,Total,Total,Total,Agriculture and fishery workers
2003,Total,Total,Total,Total,Agriculture and fishery workers
2004,Total,Total,Total,Total,Agriculture and fishery workers
2005,Total,Total,Total,Total,Agriculture and fishery workers
2006,Total,Total,Total,Total,Agriculture and fishery workers
2007,Total,Total,Total,Total,Agriculture and fishery workers
2008,Total,Total,Total,Total,Agriculture and fishery workers
2009,Total,Total,Total,Total,Agriculture and fishery workers
2010,Total,Total,Total,Total,Agriculture and fishery workers
2011,Total,Total,Total,Total,Agriculture and fishery workers
2012,Total,Total,Total,Total,Agriculture and fishery workers
2013,Total,Total,Total,Total,Agriculture and fishery workers
2014,Total,Total,Total,Total,Agriculture and fishery workers
2015,Total,Total,Total,Total,Agriculture and fishery workers
2016,Total,Total,Total,Total,Agriculture and fishery workers
2017,Total,Total,Total,Total,Agriculture and fishery workers
2018,Total,Total,Total,Total,Agriculture and fishery workers
2002,Total,Total,Total,Total,Trades workers
2003,Total,Total,Total,Total,Trades workers
2004,Total,Total,Total,Total,Trades workers
2005,Total,Total,Total,Total,Trades workers
2006,Total,Total,Total,Total,Trades workers
2007,Total,Total,Total,Total,Trades workers
2008,Total,Total,Total,Total,Trades workers
2009,Total,Total,Total,Total,Trades workers
2010,Total,Total,Total,Total,Trades workers
2011,Total,Total,Total,Total,Trades workers
2012,Total,Total,Total,Total,Trades workers
2013,Total,Total,Total,Total,Trades workers
2014,Total,Total,Total,Total,Trades workers
2015,Total,Total,Total,Total,Trades workers
2016,Total,Total,Total,Total,Trades workers
2017,Total,Total,Total,Total,Trades workers
2018,Total,Total,Total,Total,Trades workers
2002,Total,Total,Total,Total,Plant and machine operators and assemblers
2003,Total,Total,Total,Total,Plant and machine operators and assemblers
2004,Total,Total,Total,Total,Plant and machine operators and assemblers
2005,Total,Total,Total,Total,Plant and machine operators and assemblers
2006,Total,Total,Total,Total,Plant and machine operators and assemblers
2007,Total,Total,Total,Total,Plant and machine operators and assemblers
2008,Total,Total,Total,Total,Plant and machine operators and assemblers
2009,Total,Total,Total,Total,Plant and machine operators and assemblers
2010,Total,Total,Total,Total,Plant and machine operators and assemblers
2011,Total,Total,Total,Total,Plant and machine operators and assemblers
2012,Total,Total,Total,Total,Plant and machine operators and assemblers
2013,Total,Total,Total,Total,Plant and machine operators and assemblers
2014,Total,Total,Total,Total,Plant and machine operators and assemblers
2015,Total,Total,Total,Total,Plant and machine operators and assemblers
2016,Total,Total,Total,Total,Plant and machine operators and assemblers
2017,Total,Total,Total,Total,Plant and machine operators and assemblers
2018,Total,Total,Total,Total,Plant and machine operators and assemblers
2002,Total,Total,Total,Total,Elementary occupations
2003,Total,Total,Total,Total,Elementary occupations
2004,Total,Total,Total,Total,Elementary occupations
2005,Total,Total,Total,Total,Elementary occupations
2006,Total,Total,Total,Total,Elementary occupations
2007,Total,Total,Total,Total,Elementary occupations
2008,Total,Total,Total,Total,Elementary occupations
2009,Total,Total,Total,Total,Elementary occupations
2010,Total,Total,Total,Total,Elementary occupations
2011,Total,Total,Total,Total,Elementary occupations
2012,Total,Total,Total,Total,Elementary occupations
2013,Total,Total,Total,Total,Elementary occupations
2014,Total,Total,Total,Total,Elementary occupations
2015,Total,Total,Total,Total,Elementary occupations
2016,Total,Total,Total,Total,Elementary occupations
2017,Total,Total,Total,Total,Elementary occupations
2018,Total,Total,Total,Total,Elementary occupations
2002,Total,Total,Total,Total,Not specified
2003,Total,Total,Total,Total,Not specified
2004,Total,Total,Total,Total,Not specified
2005,Total,Total,Total,Total,Not specified
2006,Total,Total,Total,Total,Not specified
2007,Total,Total,Total,Total,Not specified
2008,Total,Total,Total,Total,Not specified
2009,Total,Total,Total,Total,Not specified
2010,Total,Total,Total,Total,Not specified
2011,Total,Total,Total,Total,Not specified
2012,Total,Total,Total,Total,Not specified
2013,Total,Total,Total,Total,Not specified
2014,Total,Total,Total,Total,Not specified
2015,Total,Total,Total,Total,Not specified
2016,Total,Total,Total,Total,Not specified
2017,Total,Total,Total,Total,Not specified
2018,Total,Total,Total,Total,Not specified
2002,Total,Total,Total,Total,Total
2003,Total,Total,Total,Total,Total
2004,Total,Total,Total,Total,Total
2005,Total,Total,Total,Total,Total
2006,Total,Total,Total,Total,Total
2007,Total,Total,Total,Total,Total
2008,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2002,Total,Total,Total,Total,Total
2003,Total,Total,Total,Total,Total
2004,Total,Total,Total,Total,Total
2005,Total,Total,Total,Total,Total
2006,Total,Total,Total,Total,Total
